interest_keywords,major_name,degree_category,employment_outlook,typical_roles,fit_notes,risk_notes
医学实验技术|医学|医生|医院|医院科室|医学科研|基层医疗,医学实验技术,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
医学影像学|医学|医生|医院|影像科医师|超声医师,医学影像学,医学,评级A；学习难度4/5；诊断刚需，AI辅助但不会取代,影像科医师、超声医师,核心课程/能力：放射诊断学、超声诊断学,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
医学影像技术|医学|医生|医院|医院科室|医学科研|基层医疗,医学影像技术,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
医学技术类|医学|医生|医院|医院科室|医学科研|基层医疗,医学技术类,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
医学检验技术|医学|医生|医院|检验技师|病理技术员,医学检验技术,医学,评级B；学习难度3/5；医疗刚需，就业率高,检验技师、病理技术员,核心课程/能力：临床检验、生化检验、微生物检验,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
医疗保险|经济学|银行|证券|保险|财税|企业经营分析,医疗保险,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
卫生检验与检疫|医学|医院医技|护理|康复治疗|公共卫生,卫生检验与检疫,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医院医技、护理、康复治疗、公共卫生,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
历史|历史学,历史,历史学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
历史学,历史学,历史学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
口腔医学|医学|医生|医院|口腔|口腔医生|正畸医师,口腔医学,医学,评级A；学习难度4/5；收入高，可独立执业，市场空间大,口腔医生、正畸医师,核心课程/能力：口腔解剖、口腔修复、口腔外科,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
口腔医学技术|医学|医生|医院|医院科室|医学科研|基层医疗,口腔医学技术,医学,评级A；学习难度5/5；医疗健康刚需强，培养周期和执业资格要求高,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度5/5；医疗健康刚需强，培养周期和执业资格要求高
合成生物技术|工学|工程技术|产品研发|生产运维|项目实施,合成生物技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
哲学,哲学,哲学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
哲学类|哲学,哲学类,哲学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
商务英语|文学|内容运营|媒体传播|外贸|翻译|教育,商务英语,文学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,内容运营、媒体传播、外贸/翻译、教育,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
园林|农学|农业|乡村振兴|景观|设计|园林设计师|景观工程师,园林,农学,评级B；学习难度3/5；城市更新/美丽乡村建设需求,园林设计师、景观工程师,核心课程/能力：园林设计、园林植物、景观生态,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
园艺|农学|农业|乡村振兴|园林|景观|设计|园艺师|园林设计|花卉产业,园艺,农学,评级B；学习难度3/5；城市绿化/景观设计方向有需求,园艺师、园林设计、花卉产业,核心课程/能力：果树栽培、花卉学、园林规划,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
国家公园建设与管理|管理学|运营管理|市场营销|供应链|电子商务,国家公园建设与管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
